URL,Image Name,Caption,Inset
https://timesofmalta.com/articles/view/large-cap-equities-drive-mse-index-higher.1045114,img00000.jpg,Image: Jesmond Mizzi Financial Advisors Ltd,False
https://timesofmalta.com/articles/view/financial-analysis-the-1053-rule.1044823,img00001.jpg,Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/dihubmt-creating-community-technology-entrepreneurs-malta.1045102,img00002.jpg,"Bernard Montebello, MDIA",False
https://timesofmalta.com/articles/view/dihubmt-creating-community-technology-entrepreneurs-malta.1045102,img00003.jpg,"To truly thrive, start-ups, individual entrepreneurs, and SMEs require an innovation-driven environment. Photo: Shutterstock",False
https://timesofmalta.com/articles/view/respect-society-lawrence-zammit.1044841,img00004.jpg,"With the Corporate Sustainability Reporting Directive, businesses need to start reporting on their ESG performance and such reports will need to be audited. Photo: Shutterstock.com",False
https://timesofmalta.com/articles/view/we-develop-properties-comfortable-operating-from-a2.1044793,img00005.jpeg,"With a busy property market, Agora Estates plc has also sought to differentiate itself from other operators and create a number of unique selling points. ",False
https://timesofmalta.com/articles/view/apple-pay-now-available-moneybase.1044601,img00006.png,Apple users can now add their Moneybase cards to their Apple Wallet.,False
https://timesofmalta.com/articles/view/derelict-savoy-hotel-business-centre.1044202,img00007.jpg,A computer-generated image of what the developer is proposing. Photo: PA website,False
https://timesofmalta.com/articles/view/derelict-savoy-hotel-business-centre.1044202,img00008.jpg,The Savoy Hotel has been in a derelict state for several years. Photo: Jonathan Borg,False
https://timesofmalta.com/articles/view/career-growth-rocs-way-a2.1044508,img00009.jpg,CEO Office General Manager Paula Demicoli Dingli.,False
https://timesofmalta.com/articles/view/maltese-boss-rejects-concerns-sicily-marina.1044442,img00010.jpg,Ragusa business owners have complained they are being ‘ousted’ by Maltese businessman Paul Gauci (inset). Photo: Marina di Ragusa (main) / Pg Group (inset),True
https://timesofmalta.com/articles/view/six-advantages-purchasing-car-auto-dealer-a2.1044448,img00011.jpg,The majority of used cars for sale are available within just a few weeks for you to take home. Photo: Shutterstock,False
https://timesofmalta.com/articles/view/six-advantages-purchasing-car-auto-dealer-a2.1044448,img00012.jpg,A second-hand car might be the ideal choice. Photo: Shutterstock,False
https://timesofmalta.com/articles/view/financemalta-charts-path-financial-services-16th-annual-conference.1044355,img00013.jpg,The conference is a landmark event in the local financial services industry.,False
https://timesofmalta.com/articles/view/pb-group-acquires-thomas-smith-insurance-logistics-businesses.1044343,img00014.jpg,"From left: John Naudi and David Raphael Busuttil, PB Group.",False
https://timesofmalta.com/articles/view/money-market-report-week-ended-july-14.1044214,img00015.jpg,"The ECB headquarters in Frankfurt, Germany. Photo: Shutterstock.com",False
https://timesofmalta.com/articles/view/london-exhibition-spotlights-migrant-business-owners.1044103,img00016.jpg,Costa Coffee was founded by Italian brothers Sergio and Bruno Costa. Photo: Ben Stansall/AFP,False
https://timesofmalta.com/articles/view/london-exhibition-spotlights-migrant-business-owners.1044103,img00017.jpg,Marks & Spencer was co-founded by Michael Marks who was born into a Polish Jewish family that immigrated to Britain in 1882. Photo: Carl Court/AFP,False
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,img00018.jpg,Lucille Cachia is the Director of Exereco Ltd.,False
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,img00019.jpg,Creating genuinely sustainable cities and communities goes beyond the mere existence of green spaces and green walls. Photo: Shutterstock ,False
https://timesofmalta.com/articles/view/fhrd-annual-hr-conference-discuss-future-work.1043681,img00020.jpeg,Delegates will have the opportunity to participate in a number of pre-selected interactive workshops and a masterclass. Photo: FHRD,False
https://timesofmalta.com/articles/view/in-investing-time-really-friend.1043678,img00021.jpg,"Through its online platform and mobile app, MeDirect offers investors the opportunity to search for and filter mutual funds and ETFs from some of the world’s leading fund houses. Photo: Medirect",False
https://timesofmalta.com/articles/view/green-deal-faces-dilemma-john-cassar-white.1043975,img00022.jpg,The Green Deal’s ultimate objective is to make Europe the first climate-neutral continent by 2050. Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/consumer-affairs-dangerous-attachments-handheld-cutters.1043897,img00023.jpg,Examples of flail-type cutting attachments for portable hand-held brush cutters.,False
